Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
HOU,2014,6,-6.30%,-6.40%,-0.30%,-0.40%,-3.90%,-3.90%
NO,2014,6,11.60%,11.60%,22.60%,22.70%,0.00%,0.00%
TEN,2014,6,-7.90%,-8.00%,7.30%,7.80%,-4.60%,-4.60%
STL,2014,6,-8.30%,-7.90%,8.80%,8.60%,-3.30%,-3.40%
NYJ,2014,6,-24.40%,-24.60%,0.60%,0.70%,4.00%,4.00%
OAK,2014,6,-17.60%,-17.50%,10.00%,10.10%,1.80%,1.90%
MIN,2014,6,-28.10%,-28.00%,5.30%,5.70%,1.90%,2.00%
JAC,2014,6,-28.80%,-28.50%,9.30%,9.40%,-3.00%,-2.90%
TB,2014,6,-24.60%,-24.60%,15.20%,15.40%,-7.70%,-7.70%
DEN,2014,7,31.40%,31.50%,-18.20%,-18.30%,-0.90%,-0.90%
BAL,2014,7,16.20%,16.50%,-8.80%,-9.00%,3.50%,3.60%
GB,2014,7,19.90%,20.30%,-4.40%,-4.50%,1.80%,1.70%
SEA,2014,7,15.50%,15.10%,-8.10%,-7.90%,-0.90%,-0.90%
IND,2014,7,8.70%,8.80%,-5.60%,-6.10%,5.10%,5.20%
PHI,2014,7,-2.90%,-3.10%,-6.30%,-6.40%,11.10%,11.10%
DAL,2014,7,16.50%,16.80%,1.30%,1.10%,-1.60%,-1.70%
SD,2014,7,15.70%,16.00%,4.70%,4.60%,2.10%,2.10%
KC,2014,7,6.60%,6.90%,-1.40%,-1.60%,2.00%,2.10%
MIA,2014,7,5.60%,5.80%,-11.10%,-11.20%,-9.90%,-9.70%
NE,2014,7,1.80%,2.10%,0.10%,0.50%,3.90%,4.00%
DET,2014,7,-11.30%,-11.50%,-24.90%,-24.80%,-8.40%,-8.30%
CIN,2014,7,1.90%,1.40%,1.70%,2.30%,2.50%,2.60%
PIT,2014,7,5.60%,5.30%,7.40%,7.40%,4.00%,4.00%
ARI,2014,7,-11.20%,-11.30%,-10.00%,-9.90%,1.80%,1.70%
BUF,2014,7,-16.50%,-16.90%,-10.50%,-10.70%,5.50%,5.30%
CLE,2014,7,5.40%,5.00%,5.80%,5.60%,-0.50%,-0.40%
ATL,2014,7,7.60%,7.40%,16.00%,16.30%,6.60%,6.40%
CHI,2014,7,1.50%,1.40%,-1.80%,-1.50%,-5.20%,-5.30%
SF,2014,7,-3.20%,-3.40%,-3.40%,-3.50%,-4.70%,-4.80%
NO,2014,7,11.80%,11.70%,17.70%,17.70%,1.30%,1.30%
NYG,2014,7,-2.90%,-2.80%,1.00%,0.90%,-1.70%,-1.60%
HOU,2014,7,-4.90%,-4.90%,-0.30%,-0.50%,-4.70%,-4.60%
WAS,2014,7,-3.00%,-3.40%,0.30%,0.60%,-7.10%,-6.80%
CAR,2014,7,2.30%,2.30%,14.00%,14.20%,-0.70%,-0.60%
TEN,2014,7,-5.20%,-5.00%,5.30%,5.60%,-3.60%,-3.40%
NYJ,2014,7,-16.20%,-16.10%,2.30%,2.50%,3.90%,4.00%
STL,2014,7,-4.60%,-4.30%,12.20%,12.10%,1.10%,1.10%
OAK,2014,7,-16.00%,-15.70%,8.40%,8.50%,2.00%,2.10%
MIN,2014,7,-29.80%,-29.60%,2.80%,2.80%,3.30%,3.40%
