Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
MIA,1991,9,5.30%,4.00%,13.90%,12.60%,-0.50%,-0.50%
GB,1991,9,-23.90%,-23.70%,-7.10%,-8.00%,5.00%,5.00%
STL,1991,9,1.00%,0.70%,19.90%,20.50%,5.40%,5.60%
CIN,1991,9,-7.70%,-7.50%,14.40%,13.10%,-2.90%,-3.10%
TB,1991,9,-31.80%,-32.90%,-8.20%,-8.60%,-7.80%,-7.40%
ARI,1991,9,-18.00%,-18.30%,16.20%,16.00%,-0.10%,0.10%
NE,1991,9,-26.10%,-26.20%,9.20%,9.30%,-1.00%,-1.20%
IND,1991,9,-31.00%,-31.00%,15.40%,15.40%,-5.80%,-5.20%
WAS,1991,10,21.90%,21.60%,-24.90%,-24.80%,12.20%,11.40%
KC,1991,10,21.20%,21.50%,-10.30%,-9.90%,1.90%,2.10%
NO,1991,10,-7.50%,-8.00%,-37.10%,-38.50%,0.40%,0.10%
CHI,1991,10,7.10%,6.70%,-13.50%,-13.70%,-0.50%,-0.30%
HOU,1991,10,11.60%,10.50%,-11.80%,-12.60%,-3.40%,-4.00%
BUF,1991,10,30.70%,29.30%,7.00%,6.20%,-4.90%,-4.00%
SF,1991,10,17.50%,18.20%,-5.40%,-4.70%,-6.30%,-6.30%
DEN,1991,10,12.00%,9.70%,-5.30%,-5.10%,-8.30%,-7.60%
PHI,1991,10,-31.30%,-30.20%,-35.50%,-35.90%,3.60%,3.60%
NYJ,1991,10,11.70%,12.60%,5.80%,5.10%,-1.00%,-0.80%
MIN,1991,10,8.40%,9.40%,4.50%,3.20%,0.60%,0.90%
NYG,1991,10,11.60%,12.60%,6.40%,7.90%,-0.90%,-1.20%
CLE,1991,10,7.10%,6.80%,2.20%,3.10%,-1.50%,-1.90%
OAK,1991,10,-4.60%,-4.60%,-3.80%,-5.50%,3.30%,3.60%
SEA,1991,10,-10.30%,-11.50%,-9.40%,-8.60%,2.50%,2.90%
ATL,1991,10,-5.20%,-5.40%,-4.20%,-3.90%,0.50%,0.90%
SD,1991,10,4.80%,5.70%,5.80%,6.20%,-1.40%,-1.20%
DAL,1991,10,12.60%,9.90%,14.40%,13.80%,-3.60%,-3.90%
PIT,1991,10,-5.50%,-4.60%,8.20%,8.80%,4.80%,4.20%
DET,1991,10,3.10%,2.70%,11.00%,9.50%,-1.30%,-1.00%
STL,1991,10,5.10%,5.90%,20.40%,22.10%,5.50%,5.50%
MIA,1991,10,4.80%,3.90%,14.90%,14.30%,-2.50%,-2.50%
GB,1991,10,-28.20%,-29.20%,-6.30%,-8.40%,4.90%,5.40%
CIN,1991,10,-3.30%,-3.60%,16.40%,15.20%,-1.10%,-1.00%
ARI,1991,10,-17.30%,-18.40%,12.60%,13.00%,-2.30%,-2.40%
NE,1991,10,-27.30%,-25.80%,8.90%,8.70%,-0.60%,-0.60%
TB,1991,10,-33.30%,-35.60%,-3.70%,-3.30%,-7.10%,-6.80%
IND,1991,10,-30.50%,-30.10%,14.70%,14.80%,-4.90%,-4.60%
WAS,1991,11,23.80%,23.80%,-28.20%,-27.80%,9.80%,9.20%
KC,1991,11,20.20%,20.00%,-7.20%,-7.10%,2.50%,2.70%
NO,1991,11,-12.40%,-12.90%,-40.50%,-41.20%,0.30%,0.10%
CHI,1991,11,9.70%,9.90%,-13.10%,-13.70%,-2.00%,-2.40%
BUF,1991,11,30.70%,29.70%,7.20%,7.20%,-4.20%,-3.50%
HOU,1991,11,10.50%,9.60%,-12.60%,-13.80%,-7.30%,-8.20%
SF,1991,11,12.10%,12.60%,-8.30%,-8.30%,-6.00%,-5.80%
PHI,1991,11,-25.80%,-24.40%,-33.60%,-31.90%,3.70%,3.60%
NYG,1991,11,10.00%,10.50%,2.80%,4.10%,-0.80%,-0.70%
DEN,1991,11,8.40%,6.00%,-5.00%,-4.60%,-8.90%,-8.40%
CLE,1991,11,10.10%,11.60%,5.70%,7.30%,-0.80%,-1.40%
OAK,1991,11,-5.50%,-5.80%,-6.00%,-7.80%,2.80%,2.90%
NYJ,1991,11,12.80%,14.60%,5.60%,5.50%,-4.70%,-5.00%
MIN,1991,11,7.90%,8.80%,7.20%,6.40%,1.70%,2.10%
SEA,1991,11,-9.50%,-10.20%,-9.50%,-8.70%,2.40%,3.00%
SD,1991,11,4.20%,4.50%,6.90%,7.00%,-0.70%,-0.10%
STL,1991,11,11.10%,12.90%,20.40%,22.00%,4.70%,4.70%
ATL,1991,11,-5.90%,-6.70%,0.20%,0.60%,0.80%,1.20%
DAL,1991,11,12.10%,11.20%,15.80%,15.40%,-1.80%,-2.20%
PIT,1991,11,-5.80%,-5.10%,7.10%,8.30%,4.20%,3.20%
MIA,1991,11,3.40%,2.90%,13.60%,13.00%,-1.60%,-1.70%
DET,1991,11,1.50%,1.00%,12.40%,11.50%,-1.80%,-1.70%
GB,1991,11,-26.30%,-26.90%,-6.90%,-9.50%,5.30%,5.90%
CIN,1991,11,-3.70%,-3.00%,15.10%,15.40%,0.60%,0.90%
TB,1991,11,-29.10%,-31.30%,-4.50%,-4.20%,-6.10%,-5.70%
ARI,1991,11,-21.50%,-22.00%,9.80%,10.30%,-1.20%,-1.20%
NE,1991,11,-27.00%,-24.30%,9.40%,9.50%,-1.00%,-0.50%
IND,1991,11,-29.00%,-28.70%,15.60%,15.80%,-2.50%,-1.60%
WAS,1991,12,25.40%,25.30%,-25.80%,-26.50%,8.50%,7.10%
KC,1991,12,18.00%,16.90%,-9.70%,-10.00%,1.90%,2.00%
NO,1991,12,-13.60%,-13.60%,-35.30%,-34.50%,-2.90%,-3.70%
BUF,1991,12,28.60%,28.50%,7.60%,7.60%,-2.90%,-2.00%
HOU,1991,12,12.10%,12.10%,-12.80%,-14.50%,-7.30%,-8.50%
CHI,1991,12,7.90%,7.80%,-10.90%,-11.50%,-2.70%,-3.10%
SF,1991,12,11.10%,10.90%,-9.60%,-9.10%,-5.60%,-5.40%
PHI,1991,12,-25.90%,-25.80%,-35.50%,-34.90%,3.00%,2.70%
OAK,1991,12,-0.40%,0.80%,-7.40%,-8.80%,3.00%,3.00%
MIN,1991,12,14.40%,17.10%,7.10%,6.80%,1.40%,1.70%
DEN,1991,12,5.50%,3.00%,-8.90%,-8.30%,-8.20%,-7.80%
NYG,1991,12,7.30%,7.90%,1.50%,3.50%,-1.00%,-1.00%
ATL,1991,12,-2.40%,-2.00%,-2.60%,-1.60%,2.50%,3.40%
SD,1991,12,7.00%,8.20%,4.90%,4.80%,0.00%,0.50%
CLE,1991,12,8.60%,11.10%,8.10%,10.50%,-0.20%,-0.80%
NYJ,1991,12,12.40%,14.60%,7.20%,7.10%,-5.20%,-5.50%
SEA,1991,12,-10.30%,-11.60%,-6.10%,-5.60%,2.20%,3.00%
DAL,1991,12,10.20%,9.20%,12.30%,11.70%,-1.40%,-1.50%
STL,1991,12,7.10%,9.00%,18.80%,19.70%,4.50%,4.60%
PIT,1991,12,-4.30%,-4.40%,7.80%,8.20%,3.50%,2.60%
